Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Ahniella affigens
Methanobacterium paludis
Mycolicibacterium smegmatis
Parastichopus regalis
Microthyrium microscopicum
Chryseobacterium hagamense
Solirubrobacter deserti
Cyprinus carpio
Ramphastos cuvieri
Haliotis rufescens
Parotis chlorochroalis
Streptomyces cinerochromogenes
Dyadobacter jejuensis
Clonorchis sinensis
Halobaculum litoreum
Lecanora oreinoides
Hirschioporus fuscoviolaceus
Actinomadura luteofluorescens
Halorutilus salinus
Maribacter stanieri
Oleiagrimonas soli
Trachinotus carolinus
Biston stratarius
Herpetomonas muscarum
Mycolicibacterium crocinum
Rickettsia prowazekii str. Chernikova
Phainopepla nitens
Flavobacterium facile
Mycoplasma capricolum subsp. capricolum ATCC 27343
Afipia carboxidovorans OM5
Hyphomicrobium album
Turicibacter faecis
Lysinibacillus yapensis
Acanthosepion esculentum
Nanger dama
Porifericola rhodea
Bradyrhizobium amphicarpaeae
Treponema phagedenis
Microbacterium dauci
Mimoniades nurscia nurscia
Peptoclostridium litorale DSM 5388
Burkholderia cenocepacia
Synergus itoensis
Cecropterus albociliatus
Globisporangium lucens
Streptomyces werraensis
Halobacillus amylolyticus
Dysgonomonas hofstadii
Sporothrix variecibatus
Streptomyces pactum
Herpetosiphon llansteffanensis
Spongia officinalis
Photobacterium jeanii
Neelides folsomi
Thauera aminoaromatica
Eulithis prunata
Halobacillus locisalis
Agarivorans litoreus
Morpho telemachus
Glomus cerebriforme
Flavobacterium gelidilacus DSM 15343
Simiduia curdlanivorans
Halocafeteria seosinensis
Chamaeleo calyptratus
Variovorax guangxiensis
Bacillus horti
Bosea vaviloviae
Macrosiphum rosae
Natronorubrum halalkaliphilum
Sporormia fimetaria CBS 119925
Acanthopleuribacter pedis
Weissella sagaensis
Treponema parvum
Neoconidiobolus thromboides FSU 785
Anaerobiospirillum succiniciproducens DSM 6400
Prevotella koreensis
Tenebrio molitor
Dolichopus virgultorum
Desulfosarcina ovata subsp. sediminis
Diplocloster modestus
Ichthyophthirius multifiliis
Fluviicoccus keumensis
Zhongshania guokunii
Lipomyces oligophaga
Promicromonospora thailandica
Triatoma sanguisuga
Haloarcula amylovorans
Streptomyces tropicalis
Spelaeicoccus albus
Natrinema caseinilyticum
Castanea crenata
Pantholops hodgsonii
Seohaeicola saemankumensis
Aspergillus californicus
Bactrocera zonata
Winogradskyella pacifica
Rhagophthalmus giganteus
Quadrisphaera granulorum
Shimia sagamensis
Megaphyllum sjaelandicum
Friedmanniella luteola
Lactococcus petauri
Chryseobacterium piscium
Pseudosimochromis curvifrons
Ascidia mentula
Haliclystus inabai
Chryseolinea serpens
Cognatiluteimonas lumbrici
Intellagama lesueurii
Gemmobacter fulvus
Eucalyptus curtisii
Podilymbus podiceps
Hypercompe scribonia
Leptographium procerum
Cnidoscolus chayamansa
Macrophomina phaseolina
Karalla daura
Mysoria galgala
Propionibacterium freudenreichii
Peribacillus tepidiphilus
Actinomadura meridiana
Acinetobacter stercoris
Sphingorhabdus lacus
Coccyzus erythropthalmus
Litchfieldella anticariensis FP35 = DSM 16096
Anaerococcus jeddahensis
Paracoccus tibetensis
Schaalia vaccimaxillae DSM 15804
Thermococcus gorgonarius
Streptomyces misionensis
Pedobacter chinensis
Anaeromicropila populeti
Claviceps citrina
Paucidesulfovibrio gracilis DSM 16080
Sulfurirhabdus autotrophica
Actinoallomurus iriomotensis
Fluctibacter halophilus
Haplosyllis anthogorgicola
Pteropus alecto
Peltula cylindrica
Thiosulfatihalobacter marinus
Salimicrobium salexigens
Amazona mercenarius
Fusarium illudens
Cynegetis impunctata
Aquisediminimonas profunda
Wolbachia endosymbiont (group B) of Carcina quercana
Ochrobactrum quorumnocens
Minois aurata
Eretmodus cyanostictus
Arabidopsis halleri
Arcticibacterium luteifluviistationis
Martelella endophytica
Symbiodinium natans
Virgibacillus profundi
Microvirga terrae
Cordylus rivae
Gyromitra leucoxantha
Helcococcus bovis
Corallococcus sicarius
Candidatus Nitrosopumilus sediminis
Trachymyrmex septentrionalis
Anas georgica
Euglossa dilemma
Leptinotarsa juncta
Nola aerugula
Granulicella rosea
Umezawaea endophytica
Fulvimonas yonginensis
Popillia japonica
Rhinanthus minor
Sedimenticola thiotaurini
Aphanothece hegewaldii CCALA 016
Copris fidius
Micromonospora andamanensis
Malassezia caprae
Aminivibrio pyruvatiphilus
Buttiauxella gaviniae ATCC 51604
Xylaria longipes
Alectoris magna
Pinguicula primuliflora
Rhodotorula graminis WP1
Archips podanus
Verruconis gallopava
Pythium periplocum
Neobacillus endophyticus
Caproicibacter fermentans
Candida tropicalis MYA-3404
Melanoides tuberculata
Roseibium limicola
Chrysina gloriosa
Neolewinella litorea
Paraburkholderia acidipaludis NBRC 101816
Rhizobium alvei
Malus sieversii
Chamaerops humilis
Streptomyces xiaopingdaonensis
Balanus glandula
Gardnerella pickettii
Solibacillus ferritrahens
Caenimonas koreensis DSM 17982
Spectribacter acetivorans
Stercorarius parasiticus
Anopheles longipalpis
Cellulomonas iranensis
Scorpaenodes xyris
Limnohabitans parvus II-B4
Aeromicrobium flavum
Amycolatopsis marina
Christensenella massiliensis
Pseudonocardia halophobica
Phoma herbarum
Steroidobacter cummioxidans
Rhinoclemmys areolata
Naganishia albida
Acetobacter garciniae
Glossopsitta concinna
Amauroascus verrucosus
Aneurinibacillus thermoaerophilus
Mergibacter septicus
Vairimorpha necatrix
Sarsia tubulosa
Actinacidiphila epipremni
Pseudogulbenkiania ferrooxidans 2002
Corynebacterium spheniscorum
Dastarcus helophoroides
Streptococcus gallolyticus
Melieria picta
Corynebacterium stercoris
Phytophthora lateralis
Pseudodesulfovibrio nedwellii
Schizosaccharomyces octosporus yFS286
Thermosipho globiformans
Urocynchramus pylzowi
Novosphingobium capsulatum NBRC 12533
Diaphorobacter ruginosibacter
Emesis diogenia
Vitis cinerea
Lichenothelia convexa
Starmerella tilneyi (nom. inval.)
Subtercola boreus
Sphingobacterium alimentarium
Galeopsomyia nigrocyanea
Myiothlypis chrysogaster
Suillus decipiens
Thermosediminibacter oceani DSM 16646
Vibrio fujianensis
Lysobacter concretionis Ko07 = DSM 16239
Syzygium syzygioides
Drosophila koepferae
Flavobacterium sinopsychrotolerans
Saturnispora zaruensis
Arthrobotrys iridis
Ruminococcus gauvreauii
Corythaeola cristata
Brevibacterium sandarakinum
Corynebacterium rouxii
Brachystomella parvula
Helicobacter bilis WiWa
Lacticaseibacillus huelsenbergensis
Cellvibrio fontiphilus
Methanolobus profundi
Triparma strigata
Eumetopias jubatus
Acetohalobium arabaticum DSM 5501
Nocardia testacea NBRC 100365
Nasonia longicornis
Bolborhynchus lineola
Aphidoletes aphidimyza
Arcobacter peruensis
Cyphomyrus plagiostoma
Eucalyptus coolabah
Chitinophaga niastensis
Melghirimyces algeriensis
Kordiimonas gwangyangensis DSM 19435 = JCM 12864
Gortyna flavago
Pseudoxanthomonas daejeonensis
Lactobacillus paragasseri
Loriculus pusillus
Fusarium subtropicale
Brassica oleracea var. oleracea
Cercophora samala
Cladonia rangiferina
Salinibacterium xinjiangense
Lunatimonas lonarensis
Trifolium alexandrinum
Serratia ureilytica
Candidatus Dehalogenimonas loeffleri
Tepidibacter mesophilus
Parauchenoglanis pantherinus
Hymenobacter bucti
Picea engelmannii
Polycladomyces zharkentensis
Psychrobacter fjordensis
Chryseobacterium timonianum
Trematocara unimaculatum
Minunthozetes semirufus
Acleris emargana
Pseudomonas citri
Leptodactylus longirostris
Sinorhizobium garamanticum
Lactobacillus crispatus
Streptomyces jietaisiensis
Ramphastos toco
Chitinophaga rhizosphaerae
Mycolicibacterium baixiangningiae
Rhizobium soli
Micropsitta bruijnii
Shewanella psychropiezotolerans
Saccopteryx bilineata
Lasioglossum oenotherae
Methanoregula formicica SMSP
Bremerella cremea
Marasmiellus scandens
Roseicella aerolata
Flavobacterium rhizophilum
Hieraaetus morphnoides
Ophiostoma pallidulum
Eulemur mongoz
Gelidibacter gilvus
Parachitinimonas caeni
Acinetobacter baylyi ADP1
Ophiostoma himal-ulmi
Zobellia uliginosa
Dyckia ibiramensis
Labeobarbus marequensis
Aglantha digitale
Diplodia corticola
Apogon imberbis
Pieris rapae
Blastobotrys raffinosifermentans
Duncaniella muricolitica
Parazoanthus swiftii
Oncorhynchus nerka
Limnobacter profundi
Rhodoferax bucti
Novosphingobium huizhouense
Quercus agrifolia
Irregularibacter muris
Cutibacterium namnetense
Cyclobacterium plantarum
Cantharis rustica
Lactobacillus kalixensis DSM 16043
Pseudomonas parafulva NBRC 16636 = DSM 17004
Bungarus ceylonicus
Methylophaga muralis
Sphingomonas panacisoli
Melitaea cinxia
Chlorophytum comosum
Filobasidium elegans
Methylobacterium variabile
Roseomonas oleicola
Trichomonas tenax
Bacillus maqinnsis
Bipolaris gigantea
Megascops ingens
Flagellimonas yonaguniensis
Thermophilibacter immobilis
Agonopterix arenella
Pedobacter aquae
Patiriisocius marinus
Petrotoga sibirica DSM 13575
Capniomyces stellatus
Chitinibacter tainanensis DSM 15459
Bacteroides caecimuris
Congregibacter variabilis
Plecturocebus caligatus
Viola pubescens var. scabriuscula
Zaprionus bogoriensis
Enterocloster citroniae
Falciphora oryzae
Sardinella longiceps
Clarias macrocephalus
Erythroxylum rotundifolium
Propithecus deckenii coronatus
Mikania micrantha
Aureimonas jatrophae
Microbacterium arthrosphaerae
Bifidobacterium breve DSM 20213 = JCM 1192
Streptomyces flavochromogenes
Afipia birgiae 34632
Robertkochia solimangrovi
Elgaria multicarinata webbii
Ampullaceana balthica
Wolbachia endosymbiont of Nilaparvata lugens
Emesis melancholica
Spirochaeta cellobiosiphila DSM 17781
Zalophus californianus
Ptychadena neumanni
Geoglossum simile
Actinomadura craniellae
Oryzias dopingdopingensis
Sardina pilchardus
Hypomecis punctinalis
Clostridium algidicarnis
Malus transitoria
Actinocrispum wychmicini
Comamonas serinivorans
Melanotaenia fluviatilis
Dehalogenimonas formicexedens
Anthurium amnicola
Cecembia lonarensis LW9
Kiloniella laminariae DSM 19542
Microbulbifer variabilis ATCC 700307
Sequoiadendron giganteum
Apteryx owenii
Bifidobacterium choladohabitans
Camelimonas abortus
Ferrimicrobium acidiphilum DSM 19497
Caulobacter segnis
Sporothrix brasiliensis 5110
Alteribacter natronophilus
Indiicoccus explosivorum
Hydrozoanthus tunicans
Intestinibacter bartlettii
Streptomyces akebiae
Eueides lampeto
Corynebacterium aquilae DSM 44791
Spiribacter salilacus
Hydrolagus colliei
Phytophthora x incrassata
Arthrobacter ramosus
Salegentibacter sediminis
Hoylesella enoeca
Streptomyces lydicamycinicus
Entacmaea quadricolor
Helias cama
Eumaeus atala
Cervus albirostris
Eristalinus aeneus
Streptomyces lunalinharesii
Verticillium nonalfalfae
Wickerhamomyces chaumierensis
Anopheles punctulatus
Merodon equestris
Pseudothauera rhizosphaerae
Rufibacter immobilis
Solanum phureja
Luteimonas huabeiensis HB2
Xenotilapia flavipinnis
Palleronia caenipelagi
Eucryptorrhynchus brandti
Fusarium poae
Paenibacillus ehimensis NBRC 15659
Xenopus tropicalis
Zhaonella formicivorans
Paracidovorax citrulli
Streptomyces glaucus
Actinoallomurus purpureus
Lampides boeticus
Delftia tsuruhatensis
Occultella kanbiaonis
Nitratireductor mangrovi
Ctena decussata
Streptomyces caelestis
Streptomyces parvus
Cyprinodon tularosa
Sarcina ventriculi
Heliosperma pusillum
Chamaecrista fasciculata
Flavobacterium sediminilitoris
Myrmecophilus myrmecophilus
Trematosphaeria pertusa
Neomonachus schauinslandi
Providencia rettgeri
Acetivibrio straminisolvens
Vibrio halioticoli
Methanothrix harundinacea 6Ac
Candidatus Megaera polyxenophila
Eomecon chionantha
Oncorhynchus kisutch
Geranium rotundifolium
Bizionia paragorgiae
Bombus sibiricus
Klenkia soli
Natrix natrix natrix
Salsola tragus
Oerskovia turbata
Chamaea fasciata
Tenacibaculum crassostreae
Tuber brumale
Gyalolechia ehrenbergii
Rhodoferax saidenbachensis
Pithecia chrysocephala
Spiroplasma endosymbiont of Labia minor
Aureococcus anophagefferens
Sphingopyxis alaskensis RB2256
Microbacterium amylolyticum
Paracoccus laeviglucosivorans
Psychromonas arctica DSM 14288
Faecalimonas umbilicata
Alkalibacterium thalassium
Krasilnikovozyma curviuscula
Hipparchia semele
Ramphastos vitellinus
Mycena vitilis
Pneumocystis jirovecii RU7
Mysia undata
Riemerella anatipestifer ATCC 11845 = DSM 15868
Cellulophaga algicola DSM 14237
Coemansia asiatica
Suillus alpinus
Cereibacter ovatus
Legionella oakridgensis
Oceanodroma tethys
Pagothenia borchgrevinki
Fusarium goolgardi
Rhodomonas lacustris
Larix sibirica
Merops persicus
Poecilia reticulata
Drosophila varians
Micrococcus lacusdianchii
Paracidovorax avenae ATCC 19860
Trichomonas vaginalis G3
Drosophila kikkawai
Vitis riparia x Vitis rupestris
Bursaphelenchus okinawaensis
Nebria brevicollis
Rosa rugosa
Sphingomonas zeae
Chalinochromis brichardi
Daldinia concentrica
Myanophis thanlyinensis
Nocardia amikacinitolerans
Arcuatula senhousia
Thermoactinomyces intermedius
Tannerella forsythia 92A2
Euphydryas desfontainii
Camellia crapnelliana
Silvimonas terrae
Corynebacterium bouchesdurhonense
Muschampia antonia
Momordica charantia
Curcuma longa
Ceratocystis cubensis
Pseudogemmobacter faecipullorum
Hemidactylus macropholis
Aquibacillus kalidii
Robertmurraya yapensis
Cutaneotrichosporon daszewskae
Kitasatospora brasiliensis
Bacillus fungorum
[Candida] ortonii
Thalassobacillus pellis
Mucilaginibacter inviolabilis
Schrenkiella parvula
Phyllosticta citricarpa
Ruoffia halotolerans
Flavobacterium adhaerens
Pseudofusicolla belgica
Streptacidiphilus cavernicola
Pseudastur albicollis
Desulfofarcimen acetoxidans DSM 771
Nesterenkonia sandarakina
Candidatus Methylobacter favarea
Trinorchestia longiramus
Fructilactobacillus fructivorans
Loigolactobacillus backii
Actinomadura chokoriensis
Blastobotrys buckinghamii (nom. inval.)
Marinicella sediminis
Tsuneonella deserti
Calameuta pygmaea
Marinomonas hwangdonensis
Thalassolituus hydrocarboniclasticus
Vitis wuhanensis
Steroidobacter flavus
Pseudomonas silesiensis
Streptomyces boncukensis
Erythrolamprus reginae
Pisaster ochraceus
Pseudoalteromonas qingdaonensis
Alpinia galanga
Acidovorax bellezanensis
Erpobdella octoculata
Aegilops tauschii subsp. strangulata
Leptospira fletcheri
Cochlearia excelsa
Cathorops aguadulce
Neoturris breviconis
Tepidiphilus margaritifer DSM 15129
Corynebacterium ihumii
Variovorax ureilyticus
Pristiophorus japonicus
Netelia melanura
Allygus modestus
Pollutibacter soli
Populus alba
Barnettozyma pratensis
Galaxias arcanus
Orthopsittaca manilatus
Alsobacter ponti
Roseicyclus persicicus
Halorhabdus utahensis DSM 12940
Enterococcus sulfureus ATCC 49903
Penicillium brevicompactum
Elsinoe ampelina
Methylococcus capsulatus str. Bath
Rubia tinctorum
Rhynchopsitta pachyrhyncha
Oceaniovalibus guishaninsula JLT2003
Penicillium psychrofluorescens
Bartonella gliris
Periweissella ghanensis
Calonectria multiphialidica
Marinimicrobium alkaliphilum
Salinispora arenicola
Meloidogyne graminicola
Streptomyces fumanus
Neolamprologus multifasciatus
Sebastes rubrivinctus
Slackia isoflavoniconvertens
Alteromonas confluentis
Escallonia rubra
Lycocerus yunnanus
Metschnikowia orientalis
Thermomyces stellatus
Hippocampus abdominalis
Paraclostridium dentum
Nothobranchius furzeri
Gillmeria pallidactyla
Phascolarctobacterium faecium
Curvibacter gracilis ATCC BAA-807
Rubrivirga marina
Parmotrema internexum
Cacatua sanguinea
Bordetella parapertussis
Novosphingobium fluoreni
Acetobacter orientalis
Oceanobacillus damuensis
Aspergillus diversus
Methanothermobacter thermautotrophicus
Spiribacter pallidus
Arcobacter lacus
Mesapamea secalis
Polistes exclamans
Thiomicrorhabdus chilensis DSM 12352
Haloarcula onubensis
Roseomonas rosea
Ameca splendens
Paenibacillus whitsoniae
Rubritalea profundi
Leifsonia bigeumensis
Microbacterium lacticum
Rhodotorula kratochvilovae
Shewanella profunda
Culicoides sonorensis
Malaciobacter marinus
Bariatricus massiliensis
Myrrha octodecimguttata
Cyrtorhinus lividipennis
Porosira glacialis
Rufibacter latericius
Erythroxylum panamense
Laminaria sinclairii
Helicobacter kayseriensis
Pyrgus carlinae
Lygephila craccae
Prevotella intermedia ATCC 25611 = DSM 20706
Helicobacter trogontum
Hydrogenovibrio kuenenii DSM 12350
Distoechodon macrophthalmus
[Candida] glucosophila
Colias croceus
Morone chrysops
Nonomuraea jabiensis
Pseudomonas jessenii
Wolbachia endosymbiont of Carposina sasakii
Calidris fuscicollis
Daedalea quercina L-15889
Halapricum hydrolyticum
Brachyspira intermedia PWS/A
Veillonella intestinalis
Wolbachia endosymbiont (group B) of Apotomis betuletana
Onchidella celtica
Melampsora americana
Crypturellus undulatus
Rhodococcoides kyotonense
[Candida] solani
Dokdonella immobilis
Histophilus somni 2336
Rummeliibacillus stabekisii
Secundilactobacillus paracollinoides
Hylodesmum podocarpum
Caria ino melicerta
Neobacillus muris
Leucoptera coffeella
Agapornis pullarius
Coniosporium apollinis CBS 100218
Ceratocystis harringtonii
Paykullia maculata
[Candida] loeiensis
Salicibibacter halophilus
Neisseria benedictiae
Nitrospira tepida
Leptospira chreensis
Columbicola columbae
Jannaschia marina
Fodinicurvata sediminis DSM 21159
Claviceps fusiformis PRL 1980
Amnirana galamensis
Liasis olivaceus
Otus elegans
Adalia bipunctata
Leifsonia aquatica
Micromonospora craterilacus
Parastagonospora avenae f. sp. tritici 18332-5
Antechinus flavipes
Bombyx mandarina
Citeromyces matritensis
Candidatus Contubernalis alkalaceticus
Phaeocystidibacter marisrubri
Enteroscipio rubneri
Dendrobates tinctorius
Alteromonas flava
Sebastes nivosus
Codiaeum variegatum
Talaromyces borbonicus
Parasutterella muris
Ovis ammon polii
Stizorhina fraseri
Apilactobacillus kunkeei
Neisseria sicca
Diaporthe ampelina
Katharina tunicata
Scleropages formosus
Rathayibacter toxicus
Pachastrella ovisternata
Fusobacterium necrogenes
Hybos culiciformis
Pseudorhiza haeckeli
Flavobacterium soyae
Promicromonospora umidemergens
Eniochthonius minutissimus
Flavobacterium celericrescens
Bosea thiooxidans
Tolypocladium tundrense
Tsukamurella paurometabola DSM 20162
Povalibacter uvarum
Actinoplanes friuliensis DSM 7358
Cryptophagus acutangulus
Virgibacillus halodenitrificans
Mionectes macconnelli
Roseomonas elaeocarpi
Corallincola platygyrae
Massilia alkalitolerans DSM 17462
Pseudanteris insignis
Galactobacter caseinivorans
Adlercreutzia equolifaciens DSM 19450
Chromobotia macracanthus
Haloprofundus halobius
Catenulispora pinistramenti
Anopheles moucheti
Bombus vestalis
Aneurinibacillus migulanus
Pseudomonas haemolytica
Gyromitra perlata
Mythimna impura
Curtobacterium aurantiacum
Paraherbaspirillum soli
Olivibacter jilunii
Aquibacillus koreensis
Aliiroseovarius salicola
Ruellia speciosa
Prosopocoilus inquinatus
Coniochaeta ligniaria NRRL 30616
Drosophila watanabei
Sporisorium scitamineum
Gryllotalpa orientalis
Pinus albicaulis
Aristolochia fimbriata
Gubernatrix cristata
Spiroplasma tabanidicola
